text,clean_text,polarity_score,sentiment
"Alhamdulillah, Onk druto hate peyeci. hate dhore ekta premium feel pacci. Sound quality o onk sundor.",alhamdulillah onk druto hate peyeci hate dhore ekta premium feel pacci sound quality o onk sundor,1,2
Ajk hte paici... check kore dekhlam... soun quality o valo ache..... delivery o thik time e hoico so ei rate ei product... Alhamdulillah satisfied..... 😌,ajk hte paici check kore dekhlam soun quality o valo ache delivery o thik time e hoico so ei rate ei product alhamdulillah satisfied ,7,0
it was good..  but the noice consolation type was so poor. sound quality good as like price...,it was good  but the noice consolation type was so poor sound quality good as like price,9,1
"Sound quality 10 out of 10
Build quality  10 out of 10
packaging 10 out of 10
Delivery 10 out of 10 
Awesome product","sound quality 10 out of 10
build quality  10 out of 10
packaging 10 out of 10
delivery 10 out of 10 
awesome product",11,1
Khup baje akta product ak din er modde nosto hoya gase keo kinben na 600tk akdom los hobe khup e kharap akta jines keo kinban na,khup baje akta product ak din er modde nosto hoya gase keo kinben na 600tk akdom los hobe khup e kharap akta jines keo kinban na,7,0
Alhamdulillah look ta khob e valo... aonek tara tari pailam.... 1kothay ochthir porai🔥🔥,alhamdulillah look ta khob e valo aonek tara tari pailam 1kothay ochthir porai,7,0
Product ar quality onek valo ♥️ Akdom original product.And the seller was very kind♥️♥️,product ar quality onek valo  akdom original productand the seller was very kind,12,1
"best kintu tws er moto sounds quality 
box Mone hoi original burds er sound mota muti","best kintu tws er moto sounds quality 
box mone hoi original burds er sound mota muti",12,1
Alhamdulillah... amr kache ei airpods ta onek valo legeche... tank you so much daraz,alhamdulillah amr kache ei airpods ta onek valo legeche tank you so much daraz,7,0
product ti onk vlo...... jamon dekhace tamon e paice.. chaile apnara nite parben🙂🙂,product ti onk vlo jamon dekhace tamon e paice chaile apnara nite parben,7,0
"product  onek valo🥰, order korar 5 din por hate pelam,ekhno use kore dekbo kemon",product  onek valo order korar 5 din por hate pelamekhno use kore dekbo kemon,2,2
sob kicu thik ase and packaging ta o good sob kicu milla perfct sound o osthir.,sob kicu thik ase and packaging ta o good sob kicu milla perfct sound o osthir,6,2
Gaming er Jonno aktu pera khete hoy tobe 600 takay onk tai valo maner Airports 💝,gaming er jonno aktu pera khete hoy tobe 600 takay onk tai valo maner airports ,7,0
Nice product but the charger is both side type -c so how will i charge it!!!,nice product but the charger is both side type c so how will i charge it,8,1
Battery backup khub kom..... Ei price er moddhe.... Sound quality khub  valo,battery backup khub kom ei price er moddhe sound quality khub  valo,7,0
"products tik ace 
sob kicu perfect 
sound quality o good. 
svai nite paren","products tik ace 
sob kicu perfect 
sound quality o good 
svai nite paren",11,1
"onek vlo thank you saller k and daraz k o 
special thanks for delivery man 💕💕","onek vlo thank you saller k and daraz k o 
special thanks for delivery man ",12,1
onk vlo ekti Product khub vlo colche. but nicher pop-up system er je ekta Sound hoy seita hocche nh.,onk vlo ekti product khub vlo colche but nicher popup system er je ekta sound hoy seita hocche nh,11,1
Alhamdulillah valo ekta products sobai nite paren ❤️‍🩹🥰,alhamdulillah valo ekta products sobai nite paren ,7,0
"Just awesome 👍😎 
jemon ta caici temonta peyechi. thanks","just awesome  
jemon ta caici temonta peyechi thanks",12,1
sound quality bettery backup onek valo dekhteo gorgeous nite paren🍎,sound quality bettery backup onek valo dekhteo gorgeous nite paren,11,1
sound quality vloi.chaile nite paren..dam hisebe vloi,sound quality vloichaile nite parendam hisebe vloi,7,0
"temon valo na sound quality kharap onek


taka nosto","temon valo na sound quality kharap onek


taka nosto",7,0
Donnobad Daraz ke jemon dekhechi thik temon peyechi,donnobad daraz ke jemon dekhechi thik temon peyechi,7,0
"mota moti Valo asa 🤩
ear but a 70%r basi charge utha na 🫣","mota moti valo asa 
ear but a 70r basi charge utha na ",7,0
Not bad. but the opening sound is very annoying.,not bad but the opening sound is very annoying,3,2
Valo product.tana 4 ghonta backup dita para.,valo producttana 4 ghonta backup dita para,7,0
onak valo apnara shobay nitay paren,onak valo apnara shobay nitay paren,7,0
Kew Niben na aita.akdom faltu 😡😡😡aita na die onno ta dise,kew niben na aitaakdom faltu aita na die onno ta dise,2,2
Sob e thik ase but cable ta nosto.,sob e thik ase but cable ta nosto,6,2
"valo akta product peyesi, thanks",valo akta product peyesi thanks,10,1
alhamdulillah bolte gele 10-10 dite hbe sei rokm,alhamdulillah bolte gele 1010 dite hbe sei rokm,7,0
khub Valo and delivery vaiao khub valo,khub valo and delivery vaiao khub valo,7,0
"good product,, value for money 🥰🥰",good product value for money ,11,1
just wow ar kisu bolar nai choto morij 😩💥,just wow ar kisu bolar nai choto morij ,11,1
Product vlo alhumdullah sob tik tak shobai nite paren delevery o onek taratari paici jemon dekci tik temon paici ato vlo jenis pabo ai takai vabte pari nai,product vlo alhumdullah sob tik tak shobai nite paren delevery o onek taratari paici jemon dekci tik temon paici ato vlo jenis pabo ai takai vabte pari nai,5,2
price wish good product.sound quality bhalo chilo.ar charging port type-c hoar por o Tara 1 ta cable dia dise jeta bhalo lagse❤️,price wish good productsound quality bhalo chiloar charging port typec hoar por o tara 1 ta cable dia dise jeta bhalo lagse,11,1
"product 10/10
product sera, sound quality bhalo,","product 1010
product sera sound quality bhalo",7,0
air pods ta khub I Valo sound quality purai agun. ar cheye best air pods ato kom damer moddhe kokhonoi Dekhi nei,air pods ta khub i valo sound quality purai agun ar cheye best air pods ato kom damer moddhe kokhonoi dekhi nei,11,1
product valo.but c type charger kheyal kori nai. akhon c type charger o nai.  akhon ki kora jay?,product valobut c type charger kheyal kori nai akhon c type charger o nai  akhon ki kora jay,7,0
akta hate peyechi. already r akta order confirmation kora hoise. products quality onk vlo sound o Joss.,akta hate peyechi already r akta order confirmation kora hoise products quality onk vlo sound o joss,2,2
Product quality budget bibechonai bolte gele A+ ,product quality budget bibechonai bolte gele a ,7,0
"products valoi ase but Android a use korar jonno onek kichu miss korchi 
overall good","products valoi ase but android a use korar jonno onek kichu miss korchi 
overall good",10,1
valo asee product jemon dam oi rkm kaj kore deklam use base quality ade mota moti,valo asee product jemon dam oi rkm kaj kore deklam use base quality ade mota moti,7,0
valo lagse products. kintu apnara charging cable ta den nai ai karone valo lago na,valo lagse products kintu apnara charging cable ta den nai ai karone valo lago na,7,0
onek sundor ekai products sobai nite paren delivery man er bebohar onek valo,onek sundor ekai products sobai nite paren delivery man er bebohar onek valo,7,0
Sound quality khub e vlo.. charge o valoi thake  👌👌 ami 2 ta niyechi,sound quality khub e vlo charge o valoi thake   ami 2 ta niyechi,7,0
khub kharap delivery cable er samne pechone ak.sound quality valo na.,khub kharap delivery cable er samne pechone aksound quality valo na,7,0
alhamdulillah. amr onek vlo lagce. Ekhn vlo service dilei holo,alhamdulillah amr onek vlo lagce ekhn vlo service dilei holo,7,0
good but ekta besi ekta Kom sound hoy sound level perfect na,good but ekta besi ekta kom sound hoy sound level perfect na,12,1
ata vlo sobay babohar korte paro Dam kom kinto jinis ta vlo,ata vlo sobay babohar korte paro dam kom kinto jinis ta vlo,7,0
Valo ase Product chile nite paren sound quality onek valo,valo ase product chile nite paren sound quality onek valo,7,0
onek valo eta ..tobe charge kom thake bole mone hoi,onek valo eta tobe charge kom thake bole mone hoi,7,0
"Onk valo ekti product, chaile nissondehe nite paren",onk valo ekti product chaile nissondehe nite paren,7,0
Alhamdulillah price hishabe product anek valo💖,alhamdulillah price hishabe product anek valo,7,0
Amar ata open hoy nah .😩😩😩😩😣😣😩😩😩😫😫😫,amar ata open hoy nah ,6,2
Akta charge thaktese arektai thektese na 100 e hosse na,akta charge thaktese arektai thektese na 100 e hosse na,7,0
2ta nisi 1 ta charging back up kom thake,2ta nisi 1 ta charging back up kom thake,7,0
Good quality product best deal ei price e,good quality product best deal ei price e,12,1
akta valo akta nosto.ata asha kori ni,akta valo akta nostoata asha kori ni,7,0
onak valo apnara nitay paren,onak valo apnara nitay paren,7,0
onek valo apora nite paren,onek valo apora nite paren,7,0
good sound ami 4 Ta nici,good sound ami 4 ta nici,10,1
kisu bolar nay.10 e 10,kisu bolar nay10 e 10,7,0
"mobile e connect korle thik ace but pc/ laptop e jamela hoi.

sound baje dei","mobile e connect korle thik ace but pc laptop e jamela hoi

sound baje dei",7,0
"ajke pailam 
use Kore deki kemon","ajke pailam 
use kore deki kemon",7,0
mota moti charge 1tu kom thke,mota moti charge 1tu kom thke,7,0
ami product ta power por dakhi porduct ar silling thik thak asa. tai ami ar deliveryman ar sam na khuli ni kintu bashai asa khular por dakhi air poods ta bhito ra jai sada plastic ta dia pacha no tha ka sata khula,ami product ta power por dakhi porduct ar silling thik thak asa tai ami ar deliveryman ar sam na khuli ni kintu bashai asa khular por dakhi air poods ta bhito ra jai sada plastic ta dia pacha no tha ka sata khula,4,2
Charge thake nah bal er product a,charge thake nah bal er product a,6,2
"aktay charge cilo na somosa nai charge Diya sob ok ase 
genuine product
great sound love it 

Thanks seller and Daraz","aktay charge cilo na somosa nai charge diya sob ok ase 
genuine product
great sound love it 

thanks seller and daraz",13,1
Twsta near kono icche chilona 40% er voucher thakay 300+ taka diye niye nilam.,twsta near kono icche chilona 40 er voucher thakay 300 taka diye niye nilam,7,0
"awesome product, satisfied, 2 din er vitore delivery paisi, khub fast, valoi",awesome product satisfied 2 din er vitore delivery paisi khub fast valoi,12,1
earbuds ta onk valo.bt packaging ta amr kase valo lage ni.basi chap porse product tar upor.,earbuds ta onk valobt packaging ta amr kase valo lage nibasi chap porse product tar upor,7,0
Alhamdulillah. TWS ta onek valo. Price onujayi sound quality very good. Charge backup o enough. Delivery chilo super fast. Overall satisfied. Thanks seller and Daraz.,alhamdulillah tws ta onek valo price onujayi sound quality very good charge backup o enough delivery chilo super fast overall satisfied thanks seller and daraz,13,1
Ei product ta onk valo ami ekta use kortesi eta amar bon er jonno order disilam,ei product ta onk valo ami ekta use kortesi eta amar bon er jonno order disilam,7,0
"sound quality: 10/10 (at this price)
comfort: 7/10
looks:10/10
battery:9/10","sound quality 1010 at this price
comfort 710
looks1010
battery910",9,1
"Just akta word bolbo ""The best tws """,just akta word bolbo the best tws ,11,1
er theke kharap r tws r ache kina jani na sound eto baje ki bolbo beshi din use korle kan e kharap hoye jabe......,er theke kharap r tws r ache kina jani na sound eto baje ki bolbo beshi din use korle kan e kharap hoye jabe,4,2
"Ai price e better Pete paren kintu ototao kharap na 
M20 gular moroe ai model ","ai price e better pete paren kintu ototao kharap na 
m20 gular moroe ai model ",10,1
masallah vloi product  sound quality o vlo but charge ektu kom thake ta Cara sob thik thak aca alhamdulillah 👀🖤,masallah vloi product  sound quality o vlo but charge ektu kom thake ta cara sob thik thak aca alhamdulillah ,4,2
Baje 1ra airpod ai price e. 1 hour o charge thake na.,baje 1ra airpod ai price e 1 hour o charge thake na,7,0
"Delivery too late 😡,, Delivery vaiyata amar location a ae nai,, .",delivery too late  delivery vaiyata amar location a ae nai ,7,0
Ak kothai osthir 😊 ar jar kotha na bollai noi dalivari boy ta onke valo silo thank You Daraz,ak kothai osthir  ar jar kotha na bollai noi dalivari boy ta onke valo silo thank you daraz,9,1
"this is so good 
prize hisabe khob balo","this is so good 
prize hisabe khob balo",12,1
product valo chilo.,product valo chilo,7,0
alhamdulillah onk valo akta product....apnara nite pren,alhamdulillah onk valo akta productapnara nite pren,7,0
emnite valo . sound ta ektu kom mone hoyese. mobile theke volume bariye dite hoy .,emnite valo  sound ta ektu kom mone hoyese mobile theke volume bariye dite hoy ,7,0
ei price er moddhe best product. Charge onk hour thake sound quality onk vlo.,ei price er moddhe best product charge onk hour thake sound quality onk vlo,11,1
Alhamdulillah onek valo jemon ta chaisilam temon e paisi ajk ei hate paisi,alhamdulillah onek valo jemon ta chaisilam temon e paisi ajk ei hate paisi,2,2
Assalamulaikum... alhamdulillah sob kichui valo.. tobe ekta buds a ektu problem hochhe .. ekta buds charge a bosanor somoy ektu nora nori korte hochhe.. tobe ektu guta guti kore adjust koriye dilei sob ok.. Kintu sob theke boro kotha.. ami seller a onk massage korechi.. se birokto na hoye valo vabei amk reply koreche.. tar bebohar eto valo.. jar karone ei buds er problem ta soman soman hoye geche.. Tnx sellar vai..,assalamulaikum alhamdulillah sob kichui valo tobe ekta buds a ektu problem hochhe  ekta buds charge a bosanor somoy ektu nora nori korte hochhe tobe ektu guta guti kore adjust koriye dilei sob ok kintu sob theke boro kotha ami seller a onk massage korechi se birokto na hoye valo vabei amk reply koreche tar bebohar eto valo jar karone ei buds er problem ta soman soman hoye geche tnx sellar vai,1,2
onek Valo products. jinis ta khubi Valo lagse,onek valo products jinis ta khubi valo lagse,7,0
Alluhamdurilla ami time er age paigese,alluhamdurilla ami time er age paigese,7,0
"Joss Ekta Products Just Looking Like a Wow.....Sound Quality Mutamuti Valo.
Thank You Daraz & Thank You Seller","joss ekta products just looking like a wowsound quality mutamuti valo
thank you daraz  thank you seller",12,1
product ta nissondehe valo but buds gulo charge a dile koyek bar nara deyar pore charge show kore abr majhe majhe charge chere dey🙂,product ta nissondehe valo but buds gulo charge a dile koyek bar nara deyar pore charge show kore abr majhe majhe charge chere dey,7,0
ami ai product ta 3 month use korsi valo lagche. aitar price onu jai aitar sound quality moto moti,ami ai product ta 3 month use korsi valo lagche aitar price onu jai aitar sound quality moto moti,7,0
Just looking like a wow,just looking like a wow,12,1
3 month por review dilam..shotti khub best ekta Bluetooth eke sound master o bolte paren .....❤️,3 month por review dilamshotti khub best ekta bluetooth eke sound master o bolte paren ,11,1
Alhamduillah .Headphone ta khub valo legeche. Apnara caile nite paren.,alhamduillah headphone ta khub valo legeche apnara caile nite paren,7,0
khube e vlo akta jinesh thanks you Daraz ❤️,khube e vlo akta jinesh thanks you daraz ,10,1
"Product ta khuboi valo. Sound quality, charge backup, look sob miliye darun. Ami onek happy.",product ta khuboi valo sound quality charge backup look sob miliye darun ami onek happy,9,1
all over good.. box er charge joldi shesh hoye jay otherwise ear buds er charge long lasting. sound quality bolte gele ek kaner sound kom arek kaner beshi. quality price onujayi good . recommended product it is. same as shown.,all over good box er charge joldi shesh hoye jay otherwise ear buds er charge long lasting sound quality bolte gele ek kaner sound kom arek kaner beshi quality price onujayi good  recommended product it is same as shown,12,1
"Sound quality medium, beshi clarity nai sound ee ektu noice ashe bass lover de jonno best ei price ee motamoti ekta bhalo product kharap nah but aro bhalo hoile bhalo hoito price onujai",sound quality medium beshi clarity nai sound ee ektu noice ashe bass lover de jonno best ei price ee motamoti ekta bhalo product kharap nah but aro bhalo hoile bhalo hoito price onujai,11,1
"product ta valoi and delivery taw khub tara tari payachi..  thx daraz, saller,  and delivery man",product ta valoi and delivery taw khub tara tari payachi  thx daraz saller  and delivery man,9,1
"thnxxx for the product
valo clo","thnxxx for the product
valo clo",7,0
valoi cholchhe. charge thake onek khon,valoi cholchhe charge thake onek khon,7,0
Valo product . Kintu connect hoita aktu somoi lage,valo product  kintu connect hoita aktu somoi lage,7,0
"amar khub valo lagse,,valoi chole,, ai tk ai best",amar khub valo lagsevaloi chole ai tk ai best,11,1
"The product is good but the charge is low compared to other TWS, hope to get a better and cheaper product in the future",the product is good but the charge is low compared to other tws hope to get a better and cheaper product in the future,12,1
"very nice product, as like picture. delivery man o khub Valo behavior. packing o Valo chilo.
thanks to seller and ❤️❤️for daraz","very nice product as like picture delivery man o khub valo behavior packing o valo chilo
thanks to seller and for daraz",12,1
"Product ta khubi bhalo. ami gotobochor june e amar jonno nisi, ekhono use kortesi smoothly. August e friend ke gift korsilam oitao bhalo choltese ekhono. 10/10",product ta khubi bhalo ami gotobochor june e amar jonno nisi ekhono use kortesi smoothly august e friend ke gift korsilam oitao bhalo choltese ekhono 1010,12,1
"valo na.. dui ta eksathe connect hoy na.. alada alada connect korte hoy.. tachara cheyechilam m90 pro, diyeche m90..😔",valo na dui ta eksathe connect hoy na alada alada connect korte hoy tachara cheyechilam m90 pro diyeche m90,7,0
mone hoina beshi din tikbe.....dekha jak kotodin tikey...Jodi vlo hoi tahole abr order dibo.,mone hoina beshi din tikbedekha jak kotodin tikeyjodi vlo hoi tahole abr order dibo,7,0
produced ta asholei onk valo chilo☺️,produced ta asholei onk valo chilo,7,0
left speaker a sound thik ase but right a onk kom sound..  Ashanurup holo na..😔,left speaker a sound thik ase but right a onk kom sound  ashanurup holo na,7,0
"Product Valo, nite paren. Kom bugdet e valo device. But charge backup valo na",product valo nite paren kom bugdet e valo device but charge backup valo na,7,0
"product jamon deksi temon pisi. ak week babohar korlam valoi,but charging problem ase 50% por charge kom thake olpo kisu khoner vitor shes hoia jay.",product jamon deksi temon pisi ak week babohar korlam valoibut charging problem ase 50 por charge kom thake olpo kisu khoner vitor shes hoia jay,4,2
buds ar battery onek kom bar bar charge 2 hour use korlei charge kora lage,buds ar battery onek kom bar bar charge 2 hour use korlei charge kora lage,7,0
ak dom bajee. sound quality akta ak rokom. chargeing e problem.,ak dom bajee sound quality akta ak rokom chargeing e problem,4,2
nice product. kintu majhe majhe automatically disconnect hoye jai.,nice product kintu majhe majhe automatically disconnect hoye jai,9,1
Bai anak balo product APNI thitha paran,bai anak balo product apni thitha paran,7,0
"Product ta delivery hoye silo September 5 tarikh.. ajker date September 23.. 18 din use er por..  box kaj kora bondho kore dise.. earbuds gula still kaj kortese.. but box kaj kore na tai earbuds gular charge shesh hoye gele r use kora jabe na.. 
product tao original na..","product ta delivery hoye silo september 5 tarikh ajker date september 23 18 din use er por  box kaj kora bondho kore dise earbuds gula still kaj kortese but box kaj kore na tai earbuds gular charge shesh hoye gele r use kora jabe na 
product tao original na",10,1
100% Copy product. L airbuds ta akdomi charge tike na R call a mic kaj kore na kotha bola jai na.,100 copy product l airbuds ta akdomi charge tike na r call a mic kaj kore na kotha bola jai na,10,1
"kew niyen na nosto product sell kore beiman kth	kar🙂","kew niyen na nosto product sell kore beiman kth	kar",7,0
onek bhalo product apnara nite paren,onek bhalo product apnara nite paren,7,0
valo ase tobe charg beckup kub kom,valo ase tobe charg beckup kub kom,7,0
good 1 yr use hoise ekon o valo.,good 1 yr use hoise ekon o valo,10,1
charger backup khub e kom....,charger backup khub e kom,7,0
still running after 5 month,still running after 5 month,7,0
product ta sotty khub Valo sobay ayta nita parin,product ta sotty khub valo sobay ayta nita parin,7,0
product akdom intake paici . kintu left bud tar battery backup aktu kom,product akdom intake paici  kintu left bud tar battery backup aktu kom,7,0
M90 tws earbuds awesome....Ami Pura DUI din age charge disi onek Valo kaj kore,m90 tws earbuds awesomeami pura dui din age charge disi onek valo kaj kore,7,0
Earbuds case ta aktu boro but sob miliy product ta valo 😌🤗,earbuds case ta aktu boro but sob miliy product ta valo ,4,2
Ami 2 ta ak sate bajate Pari na sitting ta bolen plz,ami 2 ta ak sate bajate pari na sitting ta bolen plz,7,0
khubi valo ekti product shob thik thak chilo,khubi valo ekti product shob thik thak chilo,7,0
akta valo podak sobai neta paran,akta valo podak sobai neta paran,7,0
anek sundor ata. kew nile nite paren.,anek sundor ata kew nile nite paren,7,0
earbuds quality is really good..,earbuds quality is really good,10,1
motamuti tk hishaba sound quality ok.,motamuti tk hishaba sound quality ok,9,1
Left Earbuds a touch sensor kaj Kore nah,left earbuds a touch sensor kaj kore nah,6,2
ak kaner ta banga cilo..kintu sound quality valo,ak kaner ta banga cilokintu sound quality valo,7,0
left side air bud nosto,left side air bud nosto,7,0
"ekodom baje ,
er theke baje mone hoy r hote pare na,","ekodom baje 
er theke baje mone hoy r hote pare na",7,0
akta bud nosto silo rerun🙂kore disi,akta bud nosto silo rerunkore disi,7,0
"product ta valo silo sound 9/10 
connectivity 8/10 
delivery pakage damaged silo plus cable ta moila silo like it used before overall good..","product ta valo silo sound 910 
connectivity 810 
delivery pakage damaged silo plus cable ta moila silo like it used before overall good",9,1
"3 din holo nilam 
amr kase valoi lagche apnarao nite paren 🥰","3 din holo nilam 
amr kase valoi lagche apnarao nite paren ",7,0
khubi baze ekta  product diche amake sound  oto valo nah  quality  valoo nah  kew niben nah,khubi baze ekta  product diche amake sound  oto valo nah  quality  valoo nah  kew niben nah,4,2
"motamuti valo,,sound toto ta high na..toba valoi..",motamuti valosound toto ta high natoba valoi,7,0
"onek balo silo🖤
daraz ke tnx🥰
ato balo prodak dewyar jonno🖤","onek balo silo
daraz ke tnx
ato balo prodak dewyar jonno",8,1
sholpo mulle khubi valo akta product peyechi. charging back up 3 hours+ price onujai valo legeche,sholpo mulle khubi valo akta product peyechi charging back up 3 hours price onujai valo legeche,7,0
"Alhamdulillah , Product quality is good ♥️.
Price Onujayi Thik Ache - Affordable option for regular uses.","alhamdulillah  product quality is good 
price onujayi thik ache  affordable option for regular uses",7,0
Alhamdulillah airport gola onk vlo cilo sound quality onk vlo use korar por review dilam Charg 3 hour projnto breakup dei amr kase kom damer modde valoi lagce apnra chaile nite pare😊🥀,alhamdulillah airport gola onk vlo cilo sound quality onk vlo use korar por review dilam charg 3 hour projnto breakup dei amr kase kom damer modde valoi lagce apnra chaile nite pare,7,0
ai price e ja paise tai onek just sudhu battery ektu kom but ai price e onek vlo. thanks for this product ❤,ai price e ja paise tai onek just sudhu battery ektu kom but ai price e onek vlo thanks for this product ,11,1
Joss ekta Product... sound quality o onk valo...Delivery o taratari peyechi and delivery man er behaviour o valo chilo...sob miliye best ekta product🤍,joss ekta product sound quality o onk valodelivery o taratari peyechi and delivery man er behaviour o valo chilosob miliye best ekta product,11,1
Ajkeii hath e paisi ,ajkeii hath e paisi ,7,0
"very very bad, ekta🤬🤬 nosto , charge temn thake na,🤬 hard type r,🤬 kan e betha lage, kew🤬 nia tk nosto korben na😡😡",very very bad ekta nosto  charge temn thake na hard type r kan e betha lage kew nia tk nosto korben na,2,2
