text,polarity_score,sentiment
Bohot bekaar packing thi.,1,2
The product met my expectations.,13,1
Bahut accha quality hai product ki.,14,1
Kharab service ne bahut pareshan kiya.,1,2
Delivery time theek tha.,12,1
Price thoda zyada hai.,5,0
Customer support ne madad ki.,13,1
Product expected se behtar tha.,14,1
Kuch khas acha nahi laga.,6,0
Shipping mein delay hua.,4,2
Product ko pasand kiya.,13,1
Poor packaging se problem hui.,2,2
Sab kuch theek tha.,8,0
Paisa bilkul waste nahi gaya.,14,1
Item defective aaya.,1,2
Bahut hi achha experience tha.,14,1
Quality thodi kharab nikli.,3,2
Faster delivery hoti to best hota.,7,0
I really like this product.,14,1
Support team bahut rude thi.,1,2
Mujhe product ki design pasand aayi.,13,1
Product price kam hona chahiye tha.,4,2
Delivery acchi thi.,12,1
The product met all my expectations.,14,1
Kharab quality ki wajah se naraaz hu.,1,2
Satisfied with the purchase.,13,1
Packaging thoda better hota to accha hota.,6,0
Amazing value for money.,14,1
Customer service thoda aur improve karna chahiye.,5,0
Product bahut accha laga mujhe.,14,1
Delivery mein problem aayi.,3,2
Great product very useful.,14,1
Kucha kharidna tha lekin quality poor thi.,2,2
Bahut hi sukhad anubhav tha.,14,1
Price bilkul sahi tha.,13,1
Delay hone ki wajah se frustration hua.,3,2
Product ki quality best hai.,14,1
Service bahut badhiya thi.,14,1
Bohot time laga delivery mein.,4,2
Fatafat delivery hui khush hu.,14,1
Product thoda mehenga zaroor hai.,7,0
Overall badhiya product hai.,14,1
Design aur quality dono best hain.,14,1
Customer support ne help nahi ki.,1,2
Nice material and design.,14,1
Delivery perfect thi.,14,1
Kharab packing ke karan product genu nahi kar paya.,2,2
Mujhe bahut pasand aya product.,14,1
Product ka size perfect tha.,13,1
Made no mistake in ordering this.,14,1
Service better hoti to aur accha lagta.,5,0
Bahut accha laga mujhe yeh product.,14,1
Delivery mein der hone ki wajah se naraaz hu.,3,2
Product quality sahi thi.,12,1
Support team rude thi.,1,2
Satisfied with the purchase.,13,1
Kuch khas nahi mila is product mein.,6,0
Price thoda zyada tha.,5,0
Excellent quality aur fast delivery!,14,1
Delivery time perfect tha.,14,1
Product thoda mehenga laga.,6,0
Bohot badhia product hai.,14,1
Customer service se achhi madad mili.,14,1
Bohot hi kharab experience tha.,1,2
The product did not meet expectations.,2,2
Packaging bahut acchi thi.,13,1
Delivery mein bhi der nahi hui.,14,1
Kharab quality se bohot niraash hu.,1,2
Price sahi tha value for money.,14,1
Design bahut pasand aaya.,14,1
Product size bilkul sahi tha.,13,1
Poor customer support ne bahut pareshan kiya.,2,2
Fatafat delivery hui khush hu.,14,1
Product ke size mein problem thi.,5,0
Excellent gift for birthday.,14,1
Kuch der hui delivery mein lekin product achha tha.,7,0
Product quality ki main fan hu.,14,1
Return process easy tha.,14,1
Kharab service ne bahut gussa dilaaya.,1,2
Mujhe yeh product bohot pasand aaya.,14,1
Item defective tha disappointed.,2,2
Bahut sukhad anubhav tha kharidari ka.,14,1
Support team ne der se response diya.,4,2
Price kam ho to aur badiya hoga.,5,0
Product ka color thoda different tha.,6,0
Product ki packaging bohot acha tha.,13,1
Kharab quality se bekar lag raha hai.,2,2
Good quality will recommend.,14,1
Delivery faster honi chahiye thi.,5,0
Product mujhe bilkul pasand nahi aaya.,1,2
Service bahut achhi thi.,14,1
Item jaldi deliver hua.,13,1
Product design shandar hai.,14,1
Price thoda jyaada lagta hai.,6,0
Customer support rude tha.,1,2
Shipping mein thodi der hui.,6,0
Product ko return kar diya.,2,2
Product excellent hai time pe aaya.,13,1
Best purchase ever.,14,1
Packaging bohot achi thi.,14,1
Quality bilkul perfect thi.,14,1
Problem jaldi solve ho gaya.,14,1
Mujhe yeh product bahut pasand aaya.,14,1
Delivery mein der hui lekin product sahi mila.,7,0
Great quality and affordable price.,14,1
Support staff rude tha.,1,2
Satisfied with the service.,13,1
Packaging ki wajah se product toot gaya.,2,2
Bahut achha product hai recommended!,14,1
Delivery time sahi tha.,12,1
Product quality thoda weak lag rahi thi.,5,0
Kharab experience hua purchase mein.,1,2
Product perfectly kaam kar raha hai.,14,1
Price thoda zyada lagta hai.,6,0
Customer support ne problem ko jaldi solve kiya.,13,1
Product ke saath chhota sa issue tha.,7,0
Package theek nahi tha.,3,2
Bohot accha experience raha mujhe.,14,1
Quality kaafi behtar hai expected se.,14,1
Delivery mein time laga thoda perantu product achha tha.,7,0
Kya zabardast product hai!,14,1
Kuch expect nahi kiya tha product amazing hai.,14,1
Sab kuch thik tha purchase se.,13,1
Shipment mein der hui naraaz hu.,4,2
Fast delivery hui khushi hui.,14,1
Product genuine tha.,14,1
Service quality thoda better ho sakti thi.,6,0
Bohot kharab product aaya.,1,2
Delivery mein dikkat aayi.,3,2
Support staff bohot helpful tha.,14,1
Product price reasonable laga.,14,1
Bohot sundar product hai.,14,1
Product ka size perfect tha.,14,1
Product mujhe pasand nahi aya.,2,2
Excellent packing aur quality.,14,1
Product ki value paisa vasool hai.,14,1
Package khoobsoorat tha delivery tez thi.,14,1
Product thoda mehenga laga.,5,0
Bad customer service se naraaz hu.,2,2
Quality se main satisfied hu.,13,1
Product defective aaya tha.,1,2
Kharab packing se product damage ho gaya.,1,2
Service achhi thi overall.,14,1
Delivery samay par huyi.,14,1
Product use karne mein comfortable hai.,14,1
Mukammal tarah se achha product hai.,14,1
Shipment time delay tha.,4,2
Customer support ne meri madad ki.,14,1
Product ki specification bilkul sahi thi.,14,1
Return process simple tha.,14,1
Poor packaging ne product ko kharab kar diya.,1,2
Mujhe yeh product use karke bahut acha laga.,14,1
Kharab packaging ke karan product damage ho gaya.,2,2
Delivery time thoda late tha.,5,0
Customer support ne bahut acha support diya.,13,1
Price thoda zyada tha lekin quality bhi achhi thi.,12,1
Product defective nikla disappointed.,1,2
Product ki quality dheemi hai.,3,2
Product expected se behtar hai.,14,1
Bohot hi sukhad anubhav tha.,14,1
Delivery time sahi tha.,12,1
Product size perfect tha.,14,1
Support team ne jaldi madad ki.,14,1
Kharab quality se totally niraash hua.,1,2
Product ka color thoda alag tha.,6,0
Service achhi thi overall.,14,1
Price kam hona chahiye tha.,4,2
Mujhe product pasand aaya.,14,1
Delivery mein kuch der hui.,7,0
Packaging acchi thi.,12,1
Product use karna kaafi aasaan hai.,14,1
Kharab service ne pareshani badha di.,2,2
Bohot acha gift tha yeh product.,14,1
Product ko time par receive kiya.,12,1
Mujhe kuch khas niraasha hui product se.,3,2
Great quality aur fast delivery.,14,1
Product ke saath chhota sa issue tha.,7,0
Support staff bohot rude tha.,1,2
Kharab packing ki wajah se product damage ho gaya.,2,2
Product ka design shandar hai.,14,1
Price reasonable hai.,13,1
Delivery mein der thi par quality achhi hai.,7,0
Bahut hi bekaar product tha.,1,2
Customer service promptly response karti hai.,14,1
Product bahut hi accha hai.,14,1
Delivery samay par hui.,12,1
Product genuine tha.,14,1
Product ke size mein thoda fark tha.,6,0
Satisfied with the purchase.,14,1
Product ki quality mujhe pasand aayi.,14,1
The product met my expectations.,13,1
Service ke mamle mein behtari ki zarurat hai.,5,0
Product return karna pada defective hone ke karan.,2,2
Packaging thik thi delivery fast thi.,14,1
Product ka color mujhe bahut pasand aaya.,14,1
Product kaafi mehenga tha.,5,0
Support staff madadgar tha.,14,1
Product ko phir se kharidna chahta hu.,14,1
Product ki value paisa vasool hai.,14,1
Delivery mein koi dikkatein nahi thi.,14,1
Product brand ke mutabiq tha.,14,1
Poor customer support experience.,2,2
Product ki quality kaafi achi hai.,14,1
Delivery mein late hone se pareshaani hui.,3,2
Customer service ne bohot acha support diya.,14,1
Packing theek tha.,12,1
Price thoda zyada tha.,5,0
Product defective tha bohot niraash hua.,1,2
Product ki design mujhe bahut pasand aayi.,14,1
Mujhe delivery mein thoda delay mila.,6,0
Product use karne mein comfortable hai.,14,1
Bohot kharab experience tha purchase process ka.,1,2
Product expected se behtar tha.,14,1
Service kaafi achhi thi.,13,1
Delivery time sahi tha.,12,1
Product ko return karna pada defective hone ki wajah se.,2,2
Awesome product package ke saath aaya.,14,1
Price aur quality dono achhi thi.,14,1
Product size mere liye perfect tha.,14,1
Kharab packaging ke kaaran product damage ho gaya.,2,2
Bahut hi sukhad anubhav raha product use karke.,14,1
Support team rude thi disappointed.,1,2
Delivery fast thi khush hu.,14,1
Quality mujhe expected se better lagi.,14,1
Mujhe product bilkul pasand nahi aaya.,2,2
Price sahi tha.,13,1
Product ka color different tha packaging se.,6,0
Service theek thi lekin better kar sakti hai.,7,0
Product bahut accha hai highly recommended!,14,1
Delivery mein thoda delay hua tha.,7,0
Shipping cost zyada tha.,4,2
Customer support madadgar tha.,14,1
Product ki specification bilkul sahi thi.,14,1
Package kharab tha par product achha tha.,3,2
Product mujhe phir se kharidna hai.,14,1
Customer service thoda aur improve honi chahiye.,5,0
Product ki value paisa vasool hai.,14,1
Delivery mein koi dikkat nahi hui.,14,1
Support team ne jaldi madad ki.,14,1
Product defective tha disappointed.,2,2
Product quality bahut behtar hai.,14,1
Maine purchase se khush hu.,14,1
Package achha tha delivery fast thi.,14,1
Product size thoda chhota tha.,6,0
Poor customer support ne pareshani badha di.,2,2
Product price kam hona chahiye tha.,4,2
Mujhe product bilkul pasand aaya.,14,1
Delivery time perfect tha.,14,1
Product ki packing quality average thi.,7,0
Bohot hi acha product hai.,14,1
Product ke size mein fark tha.,6,0
Product genuine tha.,14,1
Product ki quality bahut achi hai.,14,1
Delivery mein der hone se pareshaani hui.,3,2
Customer service ne bohot acha support diya.,14,1
Packing theek tha.,12,1
Price thoda zyada tha.,5,0
Product defective tha bohot niraash hua.,1,2
Product ki design mujhe bahut pasand aayi.,14,1
Mujhe delivery mein thoda delay mila.,6,0
Product use karne mein comfortable hai.,14,1
Bohot kharab experience tha purchase process ka.,1,2
Product expected se behtar tha.,14,1
Service kaafi achhi thi.,13,1
Delivery time sahi tha.,12,1
Product ko return karna pada defective hone ki wajah se.,2,2
Awesome product package ke saath aaya.,14,1
Price aur quality dono achhi thi.,14,1
Product size mere liye perfect tha.,14,1
Kharab packaging ke kaaran product damage ho gaya.,2,2
Bahut hi sukhad anubhav raha product use karke.,14,1
Support team rude thi disappointed.,1,2
Delivery fast thi khush hu.,14,1
Quality mujhe expected se better lagi.,14,1
Mujhe product bilkul pasand nahi aaya.,2,2
Price sahi tha.,13,1
Product ka color different tha packaging se.,6,0
Service theek thi lekin better kar sakti hai.,7,0
Product bahut accha hai highly recommended!,14,1
Delivery mein thoda delay hua tha.,7,0
Shipping cost zyada tha.,4,2
Customer support madadgar tha.,14,1
Product ki specification bilkul sahi thi.,14,1
Package kharab tha par product achha tha.,3,2
Product mujhe phir se kharidna hai.,14,1
Customer service thoda aur improve honi chahiye.,5,0
Product ki value paisa vasool hai.,14,1
Delivery mein koi dikkat nahi hui.,14,1
Support team ne jaldi madad ki.,14,1
Product defective tha disappointed.,2,2
Product quality bahut behtar hai.,14,1
Maine purchase se khush hu.,14,1
Package achha tha delivery fast thi.,14,1
Product size thoda chhota tha.,6,0
Poor customer support ne pareshani badha di.,2,2
Product price kam hona chahiye tha.,4,2
Mujhe product bilkul pasand aaya.,14,1
Delivery time perfect tha.,14,1
Product ki packing quality average thi.,7,0
Bohot hi acha product hai.,14,1
Product ke size mein fark tha.,6,0
Product genuine tha.,14,1
Product ki delivery timely hui.,14,1
Mujhe product ki quality pasand nahi aayi.,2,2
Customer service bohot helpful thi.,14,1
Price thoda zyada hai.,5,0
Packaging ki wajah se product safe tha.,13,1
Product defective nikla bahut niraash hua.,1,2
Delivery mein thoda der hua.,6,0
Product design kaafi achha tha.,14,1
Staff bohot rude tha disappointed.,1,2
Mujhe product bahut pasand aaya.,14,1
Delivery time sahi tha.,12,1
Price ki wajah se thoda pareshan hu.,4,2
Service achhi thi overall.,14,1
Product ko use karna aasaan tha.,14,1
Product size thoda chhota tha.,6,0
Product ke color mein thoda fark tha.,5,0
Great product highly recommended!,14,1
Delivery mein delay hua niraash hua.,3,2
Support team helpful thi problem solve karne mein.,14,1
Packaging acchi thi.,13,1
Price reasonable tha.,14,1
Product thoda mehenga laga.,6,0
Mujhe product bilkul pasand nahi aaya.,2,2
Product specification bilkul thik thi.,13,1
Delivery perfectly hui.,14,1
Customer support thik-thak thi.,7,0
Product faulty nikla pareshan hua.,2,2
Product ka design bohot accha tha.,14,1
Thoda delay hua delivery mein.,6,0
Bohot hi badhiya product hai.,14,1
Return process asaan tha.,14,1
Customer support rude tha.,1,2
Product value for money hai.,14,1
Delivery mein koi problem nahi thi.,14,1
Kuch khas bekaar tha.,3,2
Product ki quality expected se behtar hai.,14,1
Product mujhe khareedna pasand hai.,14,1
Packaging thoda better ho sakta tha.,7,0
Product genuine tha.,14,1
Delivery jaldi hui khush hu.,14,1
Product use karne mein comfortable hai.,14,1
Customer support helpful tha.,14,1
Price thoda kam hona chahiye tha.,5,0
Product kitne dino mein deliver hua?,7,0
Product ki design bohot hi acchi hai.,14,1
Bohot bekaar quality thi.,1,2
Product specifications accurate hain.,14,1
Delivery mein thodi dikat hui.,4,2
Product ne mujhe impress kiya.,14,1
Customer service kaafi achhi thi.,14,1
Product ki delivery timely hui South Africa.,14,1
Mujhe product ki quality pasand nahi aayi Brazil.,2,2
Customer service bohot helpful thi Japan.,14,1
Price thoda zyada India.,5,0
Packaging ki wajah se product safe tha Ireland.,13,1
Product defective nikla bahut niraash hua Canada.,1,2
Delivery mein thoda der hua Vietnam.,6,0
Product design kaafi achha tha South Korea.,14,1
Staff bohot rude tha disappointed Afghanistan.,1,2
Mujhe product bahut pasand aaya New Zealand.,14,1
Delivery time sahi tha France.,12,1
Price ki wajah se thoda pareshan hu Spain.,4,2
Service achhi thi overall Sweden.,14,1
Product ko use karna aasaan tha Norway.,14,1
Product size thoda chhota tha Mexico.,6,0
Product ke color mein thoda fark tha Egypt.,5,0
Great product highly recommended United Kingdom.,14,1
Delivery mein delay hua niraaz hua Singapore.,3,2
Support team helpful thi problem solve karne mein Italy.,14,1
Packaging acchi thi Netherlands.,13,1
Price reasonable tha Malaysia.,14,1
Product thoda mehenga laga Bhutan.,6,0
Mujhe product bilkul pasand nahi aaya Bolivia.,2,2
Product specification bilkul thik thi Portugal.,13,1
Delivery perfectly hui Bangladesh.,14,1
Customer support thik-thak thi India.,7,0
Product faulty nikla pareshan hua Sri Lanka.,2,2
Product ka design bohot accha tha Argentina.,14,1
Thoda delay hua delivery mein Cuba.,6,0
Bohot hi badhiya product hai Nepal.,14,1
Return process asaan tha Myanmar.,14,1
Customer support rude tha Uruguay.,1,2
Product value for money hai Egypt.,14,1
Delivery mein koi dikkat nahi thi Portugal.,14,1
Kuch khas bekaar tha Poland.,3,2
Product ki quality expected se behtar hai Germany.,14,1
Product mujhe khareedna pasand hai Ecuador.,14,1
Packaging thoda better ho sakta tha Chile.,7,0
Product genuine tha Costa Rica.,14,1
Delivery jaldi hui khush hu Pakistan.,14,1
Product use karne mein comfortable hai Jamaica.,14,1
Customer support helpful tha Nepal.,14,1
Price thoda kam hona chahiye tha Laos.,5,0
Product kitne dino mein deliver hua?,7,0
Product ki design bohot hi acchi hai Panama.,14,1
Bohot bekaar quality thi Tajikistan.,1,2
Product specifications accurate hain Croatia.,14,1
Delivery mein thodi dikat hui Australia.,4,2
Product ne mujhe impress kiya Canada.,14,1
Customer service kaafi achhi thi Sri Lanka.,14,1
Movie ka storyline bahut zabardast tha South Africa.,14,1
Show ke acting mein thoda improvement chahiye. Pakistan,4,2
Post par mila deal bahut hi acha tha India.,14,1
Movie ne mujhe pura entertain kiya Brazil.,13,1
Show ka plot thoda confusing tha USA.,5,0
Deal ke terms samajh mein nahi aaye. Australia.,2,2
Movie ka background score amazing tha. UK.,14,1
Show ka last episode disappointing tha. Canada.,2,2
Post ki photos bahut sundar hain. Germany.,14,1
Mujhe deal nahi pasand aayi Singapore.,1,2
Movie ka direction bohot bekaar tha. France.,2,2
Show ke costumes bahut acche the India.,14,1
Post par di gayi information helpful lagi. Brazil.,13,1
Deal se mujhe fayda hua USA.,14,1
Movie ke dialogues oversimplified the story. UK.,4,2
Show ka acting outstanding tha Pakistan.,14,1
Post ka design creative tha. Australia.,14,1
Deal price fair tha Canada.,14,1
Movie ki cinematography kaafi impressive thi India.,14,1
Show ka pacing slow tha. USA.,5,0
Post ki language clear aur concise thi Germany.,14,1
Deal ki details confusing thi Singapore.,3,2
Movie ne expectations poori ki. Brazil.,14,1
Show mein scenes kaafi emotional the. Pakistan.,14,1
Deal ko lene ki process complicated thi US.,2,2
Movie ka concept unique tha India.,14,1
Show ke costumes thoda outdated lage UK.,5,0
Post ki caption bahut interesting thi Australia.,14,1
Deal mein hidden charges the Canada.,2,2
Movie ka ending expected se alag tha USA.,14,1
Show ka soundtrack behtareen tha Pakistan.,14,1
Post manage karne mein thodi dikkat hui Brazil.,4,2
Deal ki validity kam thi India.,2,2
Movie ke actors ne apni performance mein jaan daal di UK.,14,1
Show ke dialogues natural the Australia.,14,1
Post par mila unwanted spam USA.,2,2
Deal ke features achhe the Canada.,14,1
Movie ka pace acha tha India.,14,1
Show ki direction mehengi lagi Pakistan.,5,0
Post ka visual appeal high tha Brazil.,14,1
Deal par aaye discounts bahut laabhdayak the UK.,14,1
Movie ke characters realistic the USA.,14,1
Show mein comedy kaafi achhi thi India.,14,1
Post mein thodi hatt ke baatein thi Australia.,7,0
Deal ka customer service acha tha Canada.,14,1
Movie mein thodi dull moments the USA.,6,0
Show ki storyline predictable thi Pakistan.,4,2
Post par milne wala response achha tha Brazil.,14,1
Deal se related documents clear the UK.,14,1
Movie ka storyline bahut zabardast tha South Africa.,14,1
Show ke acting mein thoda improvement chahiye Pakistan.,4,2
Post par mila deal bahut hi acha tha India.,14,1
Movie ne mujhe pura entertain kiya Brazil.,13,1
Show ka plot thoda confusing tha USA.,5,0
Deal ke terms samajh mein nahi aaye Australia.,2,2
Movie ka background score amazing tha UK.,14,1
Show ka last episode disappointing tha Canada.,2,2
Post ki photos bahut sundar hain Germany.,14,1
Mujhe deal nahi pasand aayi Singapore.,1,2
Movie ka direction bohot bekaar tha France.,2,2
Show ke costumes bahut acche the India.,14,1
Post par di gayi information helpful lagi Brazil.,13,1
Deal se mujhe fayda hua USA.,14,1
Movie ke dialogues oversimplified the story UK.,4,2
Show ka acting outstanding tha Pakistan.,14,1
Post ka design creative tha Australia.,14,1
Deal price fair tha Canada.,14,1
Movie ki cinematography kaafi impressive thi India.,14,1
Show ka pacing slow tha USA.,5,0
Post ki language clear aur concise thi Germany.,14,1
Deal ki details confusing thi Singapore.,3,2
Movie ne expectations poori ki Brazil.,14,1
Show mein scenes kaafi emotional the Pakistan.,14,1
Deal ko lene ki process complicated thi USA.,2,2
Movie ka concept unique tha India.,14,1
Show ke costumes thoda outdated lage UK.,5,0
Post ki caption bahut interesting thi Australia.,14,1
Deal mein hidden charges the Canada.,2,2
Movie ka ending expected se alag tha USA.,14,1
Show ka soundtrack behtareen tha Pakistan.,14,1
Post manage karne mein thodi dikkat hui Brazil.,4,2
Deal ki validity kam thi India.,2,2
Movie ke actors ne apni performance mein jaan daal di UK.,14,1
Show ke dialogues natural the Australia.,14,1
Post par mila unwanted spam USA.,2,2
Deal ke features achhe the Canada.,14,1
Movie ka pace acha tha India.,14,1
Show ki direction mehengi lagi Pakistan.,5,0
Post ka visual appeal high tha Brazil.,14,1
Deal par aaye discounts bahut laabhdayak the UK.,14,1
Movie ke characters realistic the USA.,14,1
Show mein comedy kaafi achhi thi India.,14,1
Post mein thodi hatt ke baatein thi Australia.,7,0
Deal ka customer service acha tha Canada.,14,1
Movie mein thodi dull moments the USA.,6,0
Show ki storyline predictable thi Pakistan.,4,2
Post par milne wala response achha tha Brazil.,14,1
Deal se related documents clear the UK.,14,1
Movie ka climax bohot thrilling tha mujhe bohot pasand aaya USA.,14,1
Show ka script thoda weak laga expectations poore nahi hue India.,4,2
Post par mila discount deal kaafi faidemand tha UK.,14,1
Movie ka music outstanding tha sabko pasand aaya Canada.,14,1
Show ka direcciÃ³n behtar ho sakta tha thoda disappointing tha Australia.,3,2
Wo post bahut informative thi achha laga mujhe Pakistan.,14,1
Deal ki terms jaanna thoda mushkil tha samajhna mushkil hua Brazil.,2,2
Movie mein acting kaafi natural thi khub saraha Germany.,14,1
Show ka ending thoda predictable tha nayi twist ki kami thi South Africa.,6,0
Post ki photos quality kaafi achhi thi share karna pasand kiya France.,14,1
Deal ki offer limited time ka tha par mujhe achha laga Italy.,14,1
Movie ka storyline bohot engaging tha entertainment rich Thailand.,14,1
Show ke dialogues sabse powerful the acting bhi karo India.,14,1
Post par kaafi valuable feedback mila appreciate kiya Singapore.,14,1
Deal ki price reasonable thi purchase karna sahi decision tha USA.,14,1
Movie ke scenes visually stunning the kaafi creative laga Canada.,14,1
Show mein kuch scenes thode confused kar dene wale the clarity better ho sakti thi UK.,5,0
Mujhe post ki content style bohot pasand aayi informative thi Australia.,14,1
Deal se milne wala product quality sahi thi khush hu main Brazil.,14,1
Movie ka acting top-class tha story bhi zabardast thi recommend karta hu India.,14,1
Show ke costumes kareeb season ke hisaab se ache thay pasand kiya France.,14,1
Post mein diye gaye tips kaafi upyogi hain useful laga mujhe USA.,14,1
Deal mein kuch hidden charges nikalke aaye thoda niraash hua Thailand.,2,2
Movie ke music ne mood banaya background score bohot acha tha UK.,14,1
Show ke visuals aur cinematography ne impress kiya bohot pasand aaya Canada.,14,1
Post ki language simple aur samajhne layak thi easy laga India.,14,1
Deal ki validity exceed ho gayi thi jawab nahi mila frustrating experience Italy.,1,2
Movie ka plot thoda slow start tha but aage achha bana Pakistan.,7,0
Show ka overall impact positive tha enjoy kiya France.,14,1
Post par acche se engagement mila feedback bhi positive tha Brazil.,14,1
Deal ki shipping thodi late hui par product quality sahi thi USA.,12,1
Movie ki main cast ne bohot accha kaam kiya acting lajawab thi India.,14,1
Show ke kuch episodes thode boring lag rahe the better editing chahiye tha UK.,6,0
Post ki images aur layout achha tha eye-catching tha Australia.,14,1
Deal ne mujhe disappointment hi diya customer service bohot bekar thi Thailand.,1,2
Movie ki screenplay kaafi tight thi story flow smooth tha Canada.,14,1
Show ki direction mein originality dikh rahi thi bohot positive laga USA.,14,1
Post ke underlined points mujhe kaafi pasand aaye bahut useful the India.,14,1
Deal ke paise vasool the quality aur cost balance sahi tha UK.,14,1
Movie ke dialogues dramatic aur engrossing the acting bhi excellent thi Pakistan.,14,1
Show ke saare characters ne apna best diya bohot engaging tha UK.,14,1
Post par diya gaya explanation clear tha kisi ko doubt nahi hua Australia.,14,1
Deal ki packaging ment ki ja sakti thi aur better thodi extra cost justified hoti Thailand.,7,0
Movie ke kuch scenes thode emotional the bohot acha laga USA.,14,1
Show ke locations visually appealing thay picturesque the India.,14,1
Post par promotion ki quality impressive thi bahut achhe se design kiya gaya tha Brazil.,14,1
Deal ki terms aur conditions clear nahi the confusion hui UK.,3,2
Movie ki theme mujhe bohot pasand aayi thought provoking thi Canada.,14,1
Movie ki story captivating thi maza aa gaya USA.,14,1
Show ke costumes bahut behtareen the India.,14,1
Post par diye gaye tips sach mein helpful the UK.,14,1
Deal ki price bahut justified thi Canada.,14,1
Movie ka acting average tha beech mein boring hua Pakistan.,5,0
Show ke dialogue thode repetitive lag rahe the Australia.,6,0
